Part,Location,Model,Date,Value
PD1399,A,Weighted Ensemble,2025-07-01,856.244400650455
PD1399,A,Weighted Ensemble,2025-08-01,882.0004952547386
PD1399,A,Weighted Ensemble,2025-09-01,869.8453551289149
PD1399,A,Weighted Ensemble,2025-10-01,814.4217218799313
PD1399,A,Weighted Ensemble,2025-11-01,714.1057762204529
PD1399,A,Weighted Ensemble,2025-12-01,648.8516800761993
PD1399,B,SARIMA,2025-01-01,521.2969755106354
PD1399,B,SARIMA,2025-02-01,584.0543338471515
PD1399,B,SARIMA,2025-03-01,552.7350991516295
PD1399,B,SARIMA,2025-04-01,573.741107241471
PD1399,B,SARIMA,2025-05-01,565.0291922378294
PD1399,B,SARIMA,2025-06-01,794.2270823472201
PD1399,B,SARIMA,2025-07-01,847.5717317207569
PD1399,B,SARIMA,2025-08-01,838.99562942897
PD1399,B,SARIMA,2025-09-01,781.6204988791021
PD1399,B,SARIMA,2025-10-01,863.0522427629865
PD1399,B,SARIMA,2025-11-01,588.5349588618697
PD1399,B,SARIMA,2025-12-01,642.8351238861078
PD1399,B,Prophet,2025-01-01,526.7240603468665
PD1399,B,Prophet,2025-02-01,553.3676080498564
PD1399,B,Prophet,2025-03-01,526.9273912120498
PD1399,B,Prophet,2025-04-01,501.92203911013206
PD1399,B,Prophet,2025-05-01,581.1662839132258
PD1399,B,Prophet,2025-06-01,804.9404493703198
PD1399,B,Prophet,2025-07-01,785.0701623098677
PD1399,B,Prophet,2025-08-01,761.0617461698206
PD1399,B,Prophet,2025-09-01,824.8847948016207
PD1399,B,Prophet,2025-10-01,784.7710227344755
PD1399,B,Prophet,2025-11-01,610.3025546454015
PD1399,B,Prophet,2025-12-01,632.5141403087835
PD1399,B,XGBoost,2025-01-01,571.8260498046875
PD1399,B,XGBoost,2025-02-01,378.34307861328125
PD1399,B,XGBoost,2025-03-01,439.6798095703125
PD1399,B,XGBoost,2025-04-01,385.797607421875
PD1399,B,XGBoost,2025-05-01,556.2376098632812
PD1399,B,XGBoost,2025-06-01,741.546630859375
PD1399,B,XGBoost,2025-07-01,680.7617797851562
PD1399,B,XGBoost,2025-08-01,698.2606201171875
PD1399,B,XGBoost,2025-09-01,722.215087890625
PD1399,B,XGBoost,2025-10-01,677.003662109375
PD1399,B,XGBoost,2025-11-01,701.878173828125
PD1399,B,XGBoost,2025-12-01,737.4055786132812
PD1399,B,N-HiTS,2025-01-01,372.7413375867588
PD1399,B,N-HiTS,2025-02-01,381.64799286964376
PD1399,B,N-HiTS,2025-03-01,380.0552624898259
PD1399,B,N-HiTS,2025-04-01,369.95573600582816
PD1399,B,N-HiTS,2025-05-01,481.9205171041534
PD1399,B,N-HiTS,2025-06-01,692.0842493313572
PD1399,B,N-HiTS,2025-07-01,755.1086225566245
PD1399,B,N-HiTS,2025-08-01,772.538933337354
PD1399,B,N-HiTS,2025-09-01,822.8771530359736
PD1399,B,N-HiTS,2025-10-01,749.3925898546557
PD1399,B,N-HiTS,2025-11-01,604.8026847585772
PD1399,B,N-HiTS,2025-12-01,602.3720422553582
PD1399,B,ETS,2025-01-01,531.3073757158529
PD1399,B,ETS,2025-02-01,557.8314002096397
PD1399,B,ETS,2025-03-01,553.6302179937826
PD1399,B,ETS,2025-04-01,536.9888153382926
PD1399,B,ETS,2025-05-01,590.872557991182
PD1399,B,ETS,2025-06-01,805.3377317515832
PD1399,B,ETS,2025-07-01,838.1587409576839
PD1399,B,ETS,2025-08-01,797.4527684670605
PD1399,B,ETS,2025-09-01,839.8466437410248
PD1399,B,ETS,2025-10-01,849.120857193251
PD1399,B,ETS,2025-11-01,639.8784309002361
PD1399,B,ETS,2025-12-01,668.224737918722
PD1399,B,Weighted Ensemble,2025-01-01,537.7695668189644
PD1399,B,Weighted Ensemble,2025-02-01,513.4119056564039
PD1399,B,Weighted Ensemble,2025-03-01,510.18508350069527
PD1399,B,Weighted Ensemble,2025-04-01,490.9573861958184
PD1399,B,Weighted Ensemble,2025-05-01,569.2803536151155
PD1399,B,Weighted Ensemble,2025-06-01,783.8746159219497
PD1399,B,Weighted Ensemble,2025-07-01,774.6141102436501
PD1399,B,Weighted Ensemble,2025-08-01,766.9414605167494
PD1399,B,Weighted Ensemble,2025-09-01,782.9395093769144
PD1399,B,Weighted Ensemble,2025-10-01,778.1089120716732
PD1399,B,Weighted Ensemble,2025-11-01,629.4825620182061
PD1399,B,Weighted Ensemble,2025-12-01,665.1326601762861
PD3978,A,SARIMA,2025-01-01,518.8581854815666
PD3978,A,SARIMA,2025-02-01,689.3125565356364
PD3978,A,SARIMA,2025-03-01,492.35920317686947
PD3978,A,SARIMA,2025-04-01,543.7795564696762
PD3978,A,SARIMA,2025-05-01,653.2816796777038
PD3978,A,SARIMA,2025-06-01,783.3893965611891
PD3978,A,SARIMA,2025-07-01,957.6642606954618
PD3978,A,SARIMA,2025-08-01,886.6830799379757
PD3978,A,SARIMA,2025-09-01,1001.9556014499915
PD3978,A,SARIMA,2025-10-01,809.743817975942
PD3978,A,SARIMA,2025-11-01,705.4620465350578
PD3978,A,SARIMA,2025-12-01,783.8124374358662
PD3978,A,Prophet,2025-01-01,572.1611925588953
PD3978,A,Prophet,2025-02-01,578.2987644289652
PD3978,A,Prophet,2025-03-01,516.2881248747589
PD3978,A,Prophet,2025-04-01,569.5010634708503
PD3978,A,Prophet,2025-05-01,613.589683929459
PD3978,A,Prophet,2025-06-01,774.3873717573115
PD3978,A,Prophet,2025-07-01,844.5241784621876
PD3978,A,Prophet,2025-08-01,856.5668641738567
PD3978,A,Prophet,2025-09-01,847.6634295056858
PD3978,A,Prophet,2025-10-01,836.5394702218414
PD3978,A,Prophet,2025-11-01,675.7837125272227
PD3978,A,Prophet,2025-12-01,666.3759016304782
PD3978,A,XGBoost,2025-01-01,597.9552001953125
PD3978,A,XGBoost,2025-02-01,555.6416015625
PD3978,A,XGBoost,2025-03-01,407.4314880371094
PD3978,A,XGBoost,2025-04-01,516.2523803710938
PD3978,A,XGBoost,2025-05-01,557.9625854492188
PD3978,A,XGBoost,2025-06-01,661.2523193359375
PD3978,A,XGBoost,2025-07-01,810.9854736328125
PD3978,A,XGBoost,2025-08-01,817.29541015625
PD3978,A,XGBoost,2025-09-01,750.9968872070312
PD3978,A,XGBoost,2025-10-01,815.057373046875
PD3978,A,XGBoost,2025-11-01,685.0807495117188
PD3978,A,XGBoost,2025-12-01,684.513427734375
PD3978,A,N-HiTS,2025-01-01,391.1216953463519
PD3978,A,N-HiTS,2025-02-01,446.26419962456265
PD3978,A,N-HiTS,2025-03-01,408.49890160859854
PD3978,A,N-HiTS,2025-04-01,392.7499674288574
PD3978,A,N-HiTS,2025-05-01,514.1937794179914
PD3978,A,N-HiTS,2025-06-01,657.9996289384693
PD3978,A,N-HiTS,2025-07-01,770.2967804414253
PD3978,A,N-HiTS,2025-08-01,823.374811123901
PD3978,A,N-HiTS,2025-09-01,816.9644974877813
PD3978,A,N-HiTS,2025-10-01,772.3061889604809
PD3978,A,N-HiTS,2025-11-01,633.5875421921177
PD3978,A,N-HiTS,2025-12-01,643.1653848425682
PD3978,A,ETS,2025-01-01,560.247212691959
PD3978,A,ETS,2025-02-01,609.083679924584
PD3978,A,ETS,2025-03-01,555.7076390500581
PD3978,A,ETS,2025-04-01,586.1727392685045
PD3978,A,ETS,2025-05-01,630.6544201932354
PD3978,A,ETS,2025-06-01,813.9158852998141
PD3978,A,ETS,2025-07-01,868.9817304618757
PD3978,A,ETS,2025-08-01,898.0091376897386
PD3978,A,ETS,2025-09-01,859.7008900560646
PD3978,A,ETS,2025-10-01,896.5769056712726
PD3978,A,ETS,2025-11-01,726.264934979734
PD3978,A,ETS,2025-12-01,696.4304577833024
PD3978,A,Weighted Ensemble,2025-01-01,557.5113682852813
PD3978,A,Weighted Ensemble,2025-02-01,617.3682361211809
PD3978,A,Weighted Ensemble,2025-03-01,476.5300972890318
PD3978,A,Weighted Ensemble,2025-04-01,544.3319230490335
PD3978,A,Weighted Ensemble,2025-05-01,614.4646599719537
PD3978,A,Weighted Ensemble,2025-06-01,746.8917922010563
